Row_Index,Fecha,Hora,Airtime,Bandwidth,Coding rate,rssi,rssi p,snr,snr p,spreading factot,f cnt,f port,frequency,Etotal_SMA,F_SMA,IDC_SMA,I_SMA,PAC_SMA,PDC_SMA,Temp_SMA,VAC_SMA,VDC_SMA
71,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,867500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,867500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-74.0,0.0,7,7.0,2,2.0,868500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-72.0,0.0,7,7.0,2,2.0,867100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,868300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-74.0,0.0,7,7.0,2,2.0,868500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,867700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-74.0,0.0,7,7.0,2,2.0,867900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-72.0,0.0,7,7.0,2,2.0,867300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,867700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-74.0,0.0,7,7.0,2,2.0,868500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-72.0,0.0,7,7.0,2,2.0,867100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,868100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,01/01/1970,24/01/2025,0.0,0.0,0.8,125000.0,0.0,-73.0,0.0,7,7.0,2,2.0,868500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
